member|publicationAuthor,member.o=publicationAuthor.o,member.s=http://www.Department11.University62.edu|publicationAuthor.s=http://www.Department11.University62.edu/AssociateProfessor4/Publication11,2
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department4.University18.edu/AssistantProfessor4,7
telephone|worksFor,telephone.s=worksFor.s,telephone.o=xxx-xxx-xxxx|,72302
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department4.University24.edu/Course38,56
undergraduateDegreeFrom|telephone,undergraduateDegreeFrom.s=telephone.s,undergraduateDegreeFrom.o=http://www.University325.edu|telephone.o=xxx-xxx-xxxx,310
advisor|publicationAuthor,advisor.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department1.University90.edu/AssociateProfessor11/Publication3,1
takesCourse|publicationAuthor,takesCourse.s=publicationAuthor.o,takesCourse.o=http://www.Department8.University24.edu/GraduateCourse52|publicationAuthor.s=http://www.Department8.University24.edu/AssistantProfessor1/Publication0,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department17.University28.edu/GraduateCourse34|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,6
telephone|undergraduateDegreeFrom,telephone.s=undergraduateDegreeFrom.s,|undergraduateDegreeFrom.o=http://www.University670.edu,349
name|takesCourse,name.s=takesCourse.s,name.o=GraduateStudent19|takesCourse.o=http://www.Department12.University35.edu/GraduateCourse13,1
emailAddress|type,emailAddress.s=type.s,emailAddress.o=UndergraduateStudent312@Department15.University76.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,1
hasAlumnus|takesCourse,hasAlumnus.o=takesCourse.s,|takesCourse.o=http://www.Department12.University42.edu/GraduateCourse23,3
takesCourse|publicationAuthor,takesCourse.s=publicationAuthor.o,takesCourse.o=http://www.Department0.University10.edu/GraduateCourse0|publicationAuthor.s=http://www.Department0.University10.edu/AssociateProfessor5/Publication8,1
advisor|member,advisor.s=member.o,advisor.o=http://www.Department18.University80.edu/AssociateProfessor12|member.s=http://www.Department18.University80.edu,6
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|,2389201
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department17.University48.edu/GraduateCourse15,19
type|teacherOf,type.s=teacherOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor|teacherOf.o=http://www.Department5.University19.edu/GraduateCourse12,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department16.University22.edu/Course17,32
telephone|doctoralDegreeFrom,telephone.s=doctoralDegreeFrom.s,|doctoralDegreeFrom.o=http://www.University590.edu,87
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent35@Department11.University64.edu|takesCourse.o=http://www.Department11.University64.edu/Course44,1
name|type,name.s=type.s,name.o=GraduateStudent62|,7646
type|mastersDegreeFrom,type.s=mastersDegreeFrom.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University|,72302
memberOf|undergraduateDegreeFrom,memberOf.s=undergraduateDegreeFrom.s,memberOf.o=http://www.Department20.University66.edu|undergraduateDegreeFrom.o=http://www.University405.edu,1
type|publicationAuthor,type.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department15.University4.edu/GraduateStudent11,5
name|takesCourse,name.s=takesCourse.s,name.o=GraduateStudent58|,4063
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department11.University4.edu/UndergraduateStudent446|name.o=Course54,1
type|mastersDegreeFrom,type.s=mastersDegreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|mastersDegreeFrom.o=http://www.University681.edu,65
name|takesCourse,name.s=takesCourse.s,|takesCourse.o=http://www.Department5.University68.edu/Course5,14
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|,2389201
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department14.University18.edu/AssistantProfessor1/Publication6|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,2
type|teachingAssistantOf,type.s=teachingAssistantOf.o,|teachingAssistantOf.s=http://www.Department21.University94.edu/GraduateStudent60,2
name|memberOf,name.s=memberOf.s,name.o=UndergraduateStudent130|memberOf.o=http://www.Department1.University95.edu,1
teacherOf|name,teacherOf.o=name.s,|name.o=Course36,2007
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department22.University91.edu/FullProfessor4/Publication6|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant,1
hasAlumnus|telephone,hasAlumnus.o=telephone.s,|telephone.o=xxx-xxx-xxxx,469226
type|publicationAuthor,type.s=publicationAuthor.s,|publicationAuthor.o=http://www.Department13.University96.edu/FullProfessor3,20
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department14.University95.edu/UndergraduateStudent52|,6
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department13.University39.edu/GraduateStudent121|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department23.University19.edu/UndergraduateStudent51|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,2
memberOf|member,memberOf.o=member.s,memberOf.s=http://www.Department14.University4.edu/UndergraduateStudent238|,571
member|type,member.o=type.s,member.s=http://www.Department1.University46.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,484
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent278|takesCourse.o=http://www.Department6.University97.edu/Course33,1
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department17.University57.edu/Course39|,56
takesCourse|undergraduateDegreeFrom,takesCourse.s=undergraduateDegreeFrom.s,takesCourse.o=http://www.Department7.University92.edu/GraduateCourse35|,7
publicationAuthor|name,publicationAuthor.o=name.s,publicationAuthor.s=http://www.Department21.University12.edu/FullProfessor5/Publication12|,1
member|name,member.s=name.s,member.o=http://www.Department16.University61.edu/UndergraduateStudent180|name.o=Department16,1
type|takesCourse,type.s=takesCourse.o,|takesCourse.s=http://www.Department17.University84.edu/GraduateStudent64,6
name|emailAddress,name.s=emailAddress.s,name.o=GraduateStudent138|emailAddress.o=GraduateStudent138@Department5.University49.edu,1
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|,2828648
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|,2389201
publicationAuthor|emailAddress,publicationAuthor.o=emailAddress.s,publicationAuthor.s=http://www.Department9.University54.edu/FullProfessor8/Publication11|emailAddress.o=GraduateStudent75@Department9.University54.edu,1
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent93|takesCourse.o=http://www.Department12.University37.edu/Course7,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department3.University47.edu/Course8,42
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department16.University53.edu/Course0|,38
member|worksFor,member.o=worksFor.s,|worksFor.o=http://www.Department2.University36.edu,34
hasAlumnus|member,hasAlumnus.o=member.o,hasAlumnus.s=http://www.University381.edu|member.s=http://www.Department6.University39.edu,1
type|emailAddress,type.s=emailAddress.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|emailAddress.o=UndergraduateStudent355@Department1.University67.edu,1
type|degreeFrom,type.s=degreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|,180616
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department8.University26.edu/GraduateCourse29|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,5
member|memberOf,member.s=memberOf.o,member.o=http://www.Department12.University29.edu/GraduateStudent80|memberOf.s=http://www.Department12.University29.edu/UndergraduateStudent31,1
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department7.University19.edu/AssociateProfessor5,16
name|publicationAuthor,name.s=publicationAuthor.o,name.o=AssistantProfessor0|,14964
member|name,member.o=name.s,|name.o=GraduateStudent114,1558
name|member,name.s=member.o,name.o=UndergraduateStudent18|member.s=http://www.Department10.University97.edu,1
publicationAuthor|emailAddress,publicationAuthor.o=emailAddress.s,publicationAuthor.s=http://www.Department7.University85.edu/AssociateProfessor12/Publication0|,4
name|takesCourse,name.s=takesCourse.o,|takesCourse.s=http://www.Department16.University10.edu/UndergraduateStudent15,4
memberOf|type,memberOf.o=type.s,memberOf.s=http://www.Department7.University79.edu/GraduateStudent128|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Department,1
mastersDegreeFrom|type,mastersDegreeFrom.o=type.s,mastersDegreeFrom.s=http://www.Department8.University34.edu/AssistantProfessor9|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,1
degreeFrom|type,degreeFrom.o=type.s,degreeFrom.s=http://www.Department5.University55.edu/GraduateStudent87|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
name|takesCourse,name.s=takesCourse.s,|takesCourse.o=http://www.Department19.University98.edu/GraduateCourse12,4
type|teacherOf,type.s=teacherOf.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|teacherOf.o=http://www.Department14.University45.edu/Course23,1
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department11.University32.edu/GraduateStudent41|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,3
hasAlumnus|type,hasAlumnus.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,252562
degreeFrom|type,degreeFrom.s=type.s,degreeFrom.o=http://www.University959.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor,87
memberOf|name,memberOf.s=name.s,|name.o=GraduateStudent25,2007
publicationAuthor|degreeFrom,publicationAuthor.o=degreeFrom.s,publicationAuthor.s=http://www.Department8.University80.edu/AssistantProfessor0/Publication6|degreeFrom.o=http://www.University918.edu,1
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|takesCourse.o=http://www.Department13.University25.edu/GraduateCourse39,8
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department17.University56.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student,496
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent|,252562
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant|publicationAuthor.s=http://www.Department18.University89.edu/AssociateProfessor3/Publication15,1
name|memberOf,name.s=memberOf.s,name.o=GraduateStudent84|memberOf.o=http://www.Department10.University6.edu,1
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Student|name.o=UndergraduateStudent160,2007
takesCourse|member,takesCourse.s=member.o,takesCourse.o=http://www.Department12.University18.edu/Course24|,28
advisor|telephone,advisor.o=telephone.s,|telephone.o=xxx-xxx-xxxx,411501
worksFor|member,worksFor.o=member.s,worksFor.s=http://www.Department7.University61.edu/AssociateProfessor2|,634
takesCourse|advisor,takesCourse.s=advisor.s,takesCourse.o=http://www.Department3.University1.edu/GraduateCourse33|advisor.o=http://www.Department3.University1.edu/AssistantProfessor4,2
degreeFrom|type,degreeFrom.s=type.s,degreeFrom.o=http://www.University343.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee,216
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department18.University26.edu/AssociateProfessor7|,12
emailAddress|name,emailAddress.s=name.s,|name.o=GraduateStudent129,791
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|publicationAuthor.o=http://www.Department15.University57.edu/FullProfessor6,18
memberOf|name,memberOf.s=name.s,memberOf.o=http://www.Department13.University47.edu|name.o=UndergraduateStudent291,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#FullProfessor|publicationAuthor.s=http://www.Department15.University48.edu/FullProfessor6/Publication7,1
memberOf|type,memberOf.s=type.s,memberOf.o=http://www.Department2.University49.edu|,1252
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department11.University92.edu/Course47,16
memberOf|type,memberOf.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1120834
member|publicationAuthor,member.o=publicationAuthor.o,member.s=http://www.Department13.University89.edu|publicationAuthor.s=http://www.Department13.University89.edu/AssistantProfessor9/Publication3,2
type|publicationAuthor,type.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department14.University52.edu/AssociateProfessor2/Publication8,10
emailAddress|memberOf,emailAddress.s=memberOf.s,emailAddress.o=UndergraduateStudent5@Department6.University60.edu|memberOf.o=http://www.Department6.University60.edu,1
doctoralDegreeFrom|name,doctoralDegreeFrom.s=name.s,doctoralDegreeFrom.o=http://www.University914.edu|name.o=Lecturer0,4
name|publicationAuthor,name.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department1.University62.edu/AssistantProfessor6/Publication5,2
memberOf|name,memberOf.o=name.s,|name.o=Department0,56570
telephone|degreeFrom,telephone.s=degreeFrom.s,telephone.o=xxx-xxx-xxxx|degreeFrom.o=http://www.University733.edu,475
teacherOf|memberOf,teacherOf.s=memberOf.s,teacherOf.o=http://www.Department14.University44.edu/GraduateCourse16|memberOf.o=http://www.Department14.University44.edu,1
telephone|type,telephone.s=type.s,telephone.o=xxx-xxx-xxxx|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,252562
name|degreeFrom,name.s=degreeFrom.o,name.o=University1|,455
member|name,member.o=name.s,member.s=http://www.Department4.University78.edu|name.o=UndergraduateStudent27,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|takesCourse.s=http://www.Department24.University74.edu/UndergraduateStudent79,3
takesCourse|hasAlumnus,takesCourse.s=hasAlumnus.o,|hasAlumnus.s=http://www.University21.edu,546
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department15.University28.edu/GraduateCourse29|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant,1
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department14.University86.edu/Course32,24
advisor|name,advisor.o=name.s,|name.o=FullProfessor6,16462
publicationAuthor|type,publicationAuthor.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor,778438
publicationAuthor|telephone,publicationAuthor.o=telephone.s,publicationAuthor.s=http://www.Department8.University39.edu/AssociateProfessor5/Publication0|,3
publicationAuthor|hasAlumnus,publicationAuthor.o=hasAlumnus.o,publicationAuthor.s=http://www.Department18.University47.edu/AssociateProfessor7/Publication1|hasAlumnus.s=http://www.University415.edu,1
advisor|emailAddress,advisor.s=emailAddress.s,|emailAddress.o=UndergraduateStudent146@Department7.University66.edu,1
member|name,member.o=name.s,member.s=http://www.Department21.University4.edu|name.o=UndergraduateStudent84,1
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department16.University16.edu/UndergraduateStudent185|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work,3
member|memberOf,member.s=memberOf.o,member.o=http://www.Department13.University95.edu/UndergraduateStudent23|memberOf.s=http://www.Department13.University95.edu/UndergraduateStudent233,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|takesCourse.s=http://www.Department0.University99.edu/UndergraduateStudent96,3
type|publicationAuthor,type.s=publicationAuthor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication|,1442184
undergraduateDegreeFrom|publicationAuthor,undergraduateDegreeFrom.s=publicationAuthor.o,|publicationAuthor.s=http://www.Department16.University30.edu/FullProfessor1/Publication5,2
type|name,type.s=name.s,|name.o=UndergraduateStudent135,4014
name|memberOf,name.s=memberOf.o,|memberOf.s=http://www.Department17.University16.edu/UndergraduateStudent7,1
emailAddress|takesCourse,emailAddress.s=takesCourse.s,emailAddress.o=UndergraduateStudent36@Department2.University97.edu|takesCourse.o=http://www.Department2.University97.edu/Course35,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course|takesCourse.s=http://www.Department14.University6.edu/GraduateStudent27,2
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty|publicationAuthor.s=http://www.Department1.University91.edu/AssociateProfessor8/Publication10,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor|,778438
member|publicationAuthor,member.o=publicationAuthor.o,member.s=http://www.Department14.University7.edu|publicationAuthor.s=http://www.Department14.University7.edu/AssociateProfessor10/Publication0,2
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,|takesCourse.o=http://www.Department6.University53.edu/GraduateCourse33,15
takesCourse|publicationAuthor,takesCourse.s=publicationAuthor.o,takesCourse.o=http://www.Department16.University1.edu/GraduateCourse8|,13
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department16.University81.edu/UndergraduateStudent163|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course,4
member|takesCourse,member.o=takesCourse.s,member.s=http://www.Department19.University94.edu|,1303
advisor|emailAddress,advisor.s=emailAddress.s,advisor.o=http://www.Department4.University36.edu/AssistantProfessor9|emailAddress.o=GraduateStudent97@Department4.University36.edu,1
type|member,type.s=member.o,|member.s=http://www.Department10.University41.edu,1228
teachingAssistantOf|takesCourse,teachingAssistantOf.o=takesCourse.o,teachingAssistantOf.s=http://www.Department23.University6.edu/GraduateStudent113|takesCourse.s=http://www.Department23.University6.edu/UndergraduateStudent279,1
undergraduateDegreeFrom|type,undergraduateDegreeFrom.o=type.s,undergraduateDegreeFrom.s=http://www.Department5.University1.edu/GraduateStudent80|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization,1
type|emailAddress,type.s=emailAddress.s,|emailAddress.o=UndergraduateStudent180@Department18.University53.edu,2
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent419|,2400
takesCourse|emailAddress,takesCourse.s=emailAddress.s,|emailAddress.o=UndergraduateStudent91@Department0.University54.edu,3
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department15.University96.edu/GraduateStudent122|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,3
type|telephone,type.s=telephone.s,|telephone.o=xxx-xxx-xxxx,2828648
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department12.University52.edu/GraduateStudent122|,1
takesCourse|type,takesCourse.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,505548
takesCourse|name,takesCourse.s=name.s,takesCourse.o=http://www.Department3.University26.edu/GraduateCourse30|name.o=GraduateStudent51,1
degreeFrom|type,degreeFrom.s=type.s,degreeFrom.o=http://www.University819.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,250
name|type,name.s=type.s,name.o=Publication2|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,66353
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,publicationAuthor.s=http://www.Department10.University27.edu/FullProfessor3/Publication14|takesCourse.o=http://www.Department10.University27.edu/GraduateCourse32,2
type|memberOf,type.s=memberOf.o,|memberOf.s=http://www.Department4.University15.edu/UndergraduateStudent313,2
takesCourse|name,takesCourse.o=name.s,takesCourse.s=http://www.Department23.University12.edu/GraduateStudent51|name.o=GraduateCourse8,1
degreeFrom|name,degreeFrom.s=name.s,degreeFrom.o=http://www.University846.edu|,477
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department11.University36.edu/GraduateStudent92|,2
member|degreeFrom,member.o=degreeFrom.s,member.s=http://www.Department6.University82.edu|degreeFrom.o=http://www.University711.edu,1
undergraduateDegreeFrom|takesCourse,undergraduateDegreeFrom.s=takesCourse.s,undergraduateDegreeFrom.o=http://www.University440.edu|,549
name|subOrganizationOf,name.s=subOrganizationOf.o,name.o=Department16|,1272
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor|publicationAuthor.s=http://www.Department5.University90.edu/AssociateProfessor1/Publication1,1
publicationAuthor|takesCourse,publicationAuthor.o=takesCourse.s,|takesCourse.o=http://www.Department1.University90.edu/GraduateCourse40,30
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department0.University49.edu/GraduateCourse10|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person,8
takesCourse|name,takesCourse.o=name.s,|name.o=Course8,44369
telephone|takesCourse,telephone.s=takesCourse.s,telephone.o=xxx-xxx-xxxx|,2894749
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|telephone.o=xxx-xxx-xxxx,252562
type|name,type.s=name.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|,217148
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department6.University17.edu/FullProfessor0/Publication13|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#FullProfessor,1
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department20.University61.edu/GraduateStudent78|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Publication,2
emailAddress|takesCourse,emailAddress.s=takesCourse.s,|takesCourse.o=http://www.Department3.University59.edu/Course0,15
name|takesCourse,name.s=takesCourse.s,name.o=UndergraduateStudent332|takesCourse.o=http://www.Department6.University5.edu/Course31,1
advisor|type,advisor.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor,137017
name|member,name.s=member.s,name.o=Department15|member.o=http://www.Department15.University59.edu/UndergraduateStudent260,1
type|takesCourse,type.s=takesCourse.s,|takesCourse.o=http://www.Department12.University18.edu/Course15,70
member|memberOf,member.s=memberOf.o,member.o=http://www.Department7.University52.edu/GraduateStudent15|memberOf.s=http://www.Department7.University52.edu/UndergraduateStudent54,1
type|advisor,type.s=advisor.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|advisor.o=http://www.Department10.University23.edu/AssociateProfessor7,4
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department20.University15.edu/Course60|,44
telephone|takesCourse,telephone.s=takesCourse.s,|takesCourse.o=http://www.Department10.University37.edu/Course10,12
type|name,type.s=name.s,|name.o=FullProfessor6,8028
takesCourse|type,takesCourse.o=type.s,takesCourse.s=http://www.Department8.University27.edu/UndergraduateStudent105|,6
memberOf|publicationAuthor,memberOf.s=publicationAuthor.o,memberOf.o=http://www.Department12.University52.edu|,794
emailAddress|takesCourse,emailAddress.s=takesCourse.s,|takesCourse.o=http://www.Department3.University10.edu/Course32,14
member|type,member.o=type.s,member.s=http://www.Department12.University97.edu|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Faculty,37
type|memberOf,type.s=memberOf.o,|memberOf.s=http://www.Department17.University52.edu/GraduateStudent37,2
publicationAuthor|type,publicationAuthor.s=type.s,publicationAuthor.o=http://www.Department5.University61.edu/GraduateStudent64|,3
type|doctoralDegreeFrom,type.s=doctoralDegreeFrom.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Organization|doctoralDegreeFrom.s=http://www.Department0.University50.edu/FullProfessor0,1
memberOf|member,memberOf.o=member.s,memberOf.s=http://www.Department3.University3.edu/UndergraduateStudent348|member.o=http://www.Department3.University3.edu/UndergraduateStudent297,1
type|takesCourse,type.s=takesCourse.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent|takesCourse.o=http://www.Department17.University3.edu/Course42,24
type|degreeFrom,type.s=degreeFrom.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University|,469226
takesCourse|type,takesCourse.s=type.s,takesCourse.o=http://www.Department6.University13.edu/Course26|,46
publicationAuthor|emailAddress,publicationAuthor.o=emailAddress.s,publicationAuthor.s=http://www.Department15.University31.edu/AssociateProfessor7/Publication14|emailAddress.o=AssociateProfessor7@Department15.University31.edu,1
name|publicationAuthor,name.s=publicationAuthor.s,name.o=Publication13|publicationAuthor.o=http://www.Department10.University72.edu/AssociateProfessor1,1
type|takesCourse,type.s=takesCourse.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Work|,2894749
type|degreeFrom,type.s=degreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Person|degreeFrom.o=http://www.University346.edu,246
telephone|takesCourse,telephone.s=takesCourse.s,telephone.o=xxx-xxx-xxxx|,2894749
emailAddress|type,emailAddress.s=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#UndergraduateStudent,795970
name|takesCourse,name.s=takesCourse.o,|takesCourse.s=http://www.Department17.University66.edu/UndergraduateStudent3,4
degreeFrom|type,degreeFrom.o=type.s,degreeFrom.s=http://www.Department19.University55.edu/GraduateStudent13|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#University,1
publicationAuthor|hasAlumnus,publicationAuthor.o=hasAlumnus.o,publicationAuthor.s=http://www.Department15.University34.edu/FullProfessor1/Publication1|hasAlumnus.s=http://www.University973.edu,1
memberOf|emailAddress,memberOf.s=emailAddress.s,memberOf.o=http://www.Department0.University46.edu|,492
telephone|memberOf,telephone.s=memberOf.s,telephone.o=xxx-xxx-xxxx|memberOf.o=http://www.Department6.University49.edu,638
publicationAuthor|type,publicationAuthor.o=type.s,|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#GraduateStudent,633443
type|telephone,type.s=telephone.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#ResearchAssistant|telephone.o=xxx-xxx-xxxx,72927
undergraduateDegreeFrom|telephone,undergraduateDegreeFrom.s=telephone.s,undergraduateDegreeFrom.o=http://www.University25.edu|telephone.o=xxx-xxx-xxxx,311
type|degreeFrom,type.s=degreeFrom.s,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Employee|degreeFrom.o=http://www.University303.edu,214
name|mastersDegreeFrom,name.s=mastersDegreeFrom.o,name.o=University78|,83
memberOf|name,memberOf.o=name.s,memberOf.s=http://www.Department1.University0.edu/UndergraduateStudent144|name.o=Department1,1
publicationAuthor|type,publicationAuthor.o=type.s,publicationAuthor.s=http://www.Department4.University22.edu/FullProfessor4/Publication10|type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#Professor,1
type|publicationAuthor,type.s=publicationAuthor.o,type.o=http://swat.cse.lehigh.edu/onto/univ-bench.owl#AssociateProfessor|publicationAuthor.s=http://www.Department17.University30.edu/AssociateProfessor1/Publication0,1
type|member,type.s=member.o,|member.s=http://www.Department9.University9.edu,1634
type|undergraduateDegreeFrom,type.s=undergraduateDegreeFrom.o,|undergraduateDegreeFrom.s=http://www.Department3.University7.edu/GraduateStudent55,2
